detector,descriptor,All Keypoints,All matches,time s
SHITOMASI,BRISK,1259,768,11.6021
SHITOMASI,BRIEF,1259,961,2.6931
SHITOMASI,ORB,1259,915,2.87947
SHITOMASI,FREAK,1259,786,3.83157
SHITOMASI,SIFT,1259,961,3.8943
SHITOMASI,AKAZE,1259,,2.36518
HARRIS,BRISK,248,142,12.0651
HARRIS,BRIEF,248,173,2.65913
HARRIS,ORB,248,160,3.22237
HARRIS,FREAK,248,146,4.39938
HARRIS,SIFT,248,163,3.86992
HARRIS,AKAZE,248,,2.7196
BRISK,BRISK,2737,1548,19.9172
BRISK,BRIEF,2737,1678,11.6742
BRISK,ORB,2737,1482,12.9883
BRISK,FREAK,2737,1502,12.4858
BRISK,SIFT,2737,1629,15.9429
BRISK,AKAZE,2737,,10.9246
FAST,BRISK,1535,900,9.66279
FAST,BRIEF,1535,1110,0.788059
FAST,ORB,1535,1091,1.15931
FAST,FREAK,1535,893,1.88173
FAST,SIFT,1535,1070,2.6488
FAST,AKAZE,1535,,0.493302
SIFT,BRISK,1524,602,17.9628
SIFT,BRIEF,1524,713,9.00556
SIFT,ORB,1524,,8.28332
SIFT,FREAK,1524,602,10.2944
SIFT,SIFT,1524,840,13.9339
SIFT,AKAZE,1524,,8.59962
ORB,BRISK,1150,744,11.8402
ORB,BRIEF,1150,540,2.42772
ORB,ORB,1150,754,4.56724
ORB,FREAK,1150,417,3.49319
ORB,SIFT,1150,756,7.44254
ORB,AKAZE,1150,,2.22191
AKAZE,BRISK,1670,1209,17.873
AKAZE,BRIEF,1670,1271,8.75076
AKAZE,ORB,1670,1185,10.1113
AKAZE,FREAK,1670,1191,9.55596
AKAZE,SIFT,1670,1273,11.2254
AKAZE,AKAZE,1670,1258,16.7899
